rep_product_id,brand,model,category,capacity,variants,min_price,coupang_search_url,coupang_url
237,니모이큅먼트,호넷 엘리트 오스모 2P,백패킹텐트,2,1,589420,https://www.coupang.com/np/search?q=%EB%8B%88%EB%AA%A8%EC%9D%B4%ED%81%85%EB%A8%BC%ED%8A%B8+%ED%98%B8%EB%84%B7+%EC%97%98%EB%A6%AC%ED%8A%B8+%EC%98%A4%EC%8A%A4%EB%AA%A8+2P,https://link.coupang.com/a/ewutPSO6G4
154,니모이큅먼트,호넷 오스모 2P,백패킹텐트,2,1,492110,https://www.coupang.com/np/search?q=%EB%8B%88%EB%AA%A8%EC%9D%B4%ED%81%85%EB%A8%BC%ED%8A%B8+%ED%98%B8%EB%84%B7+%EC%98%A4%EC%8A%A4%EB%AA%A8+2P,https://link.coupang.com/a/ewuv7vOduS
226,니모이큅먼트,호넷 오스모 3P,백패킹텐트,3,1,581570,https://www.coupang.com/np/search?q=%EB%8B%88%EB%AA%A8%EC%9D%B4%ED%81%85%EB%A8%BC%ED%8A%B8+%ED%98%B8%EB%84%B7+%EC%98%A4%EC%8A%A4%EB%AA%A8+3P,https://link.coupang.com/a/ewuxgri2nY
17,랩(Rab),MR-65 라톡 마운틴,백패킹텐트,2,1,1200000,https://www.coupang.com/np/search?q=%EB%9E%A9%28Rab%29+MR-65+%EB%9D%BC%ED%86%A1+%EB%A7%88%EC%9A%B4%ED%8B%B4,https://link.coupang.com/a/ewuyEpuETs
212,로티캠프,RCE 시에라 백패킹 텐트,백패킹텐트,2,1,164680,https://www.coupang.com/np/search?q=%EB%A1%9C%ED%8B%B0%EC%BA%A0%ED%94%84+RCE+%EC%8B%9C%EC%97%90%EB%9D%BC+%EB%B0%B1%ED%8C%A8%ED%82%B9+%ED%85%90%ED%8A%B8,https://link.coupang.com/a/ewuAjcM2Cq
164,마운틴이큅먼트,헥사 쉘터,백패킹텐트,4,1,201750,https://www.coupang.com/np/search?q=%EB%A7%88%EC%9A%B4%ED%8B%B4%EC%9D%B4%ED%81%85%EB%A8%BC%ED%8A%B8+%ED%97%A5%EC%82%AC+%EC%89%98%ED%84%B0,https://link.coupang.com/a/ewuCXkF6oS
29,몽돌,조아캠프 돔형 텐트 1-2인용,백패킹텐트,2,2,23370,https://www.coupang.com/np/search?q=%EB%AA%BD%EB%8F%8C+%EC%A1%B0%EC%95%84%EC%BA%A0%ED%94%84+%EB%8F%94%ED%98%95+%ED%85%90%ED%8A%B8+1-2%EC%9D%B8%EC%9A%A9,https://link.coupang.com/a/ewuHL8kuBw
181,몽벨,마이티 돔 1,백패킹텐트,1,1,836600,https://www.coupang.com/np/search?q=%EB%AA%BD%EB%B2%A8+%EB%A7%88%EC%9D%B4%ED%8B%B0+%EB%8F%94+1,https://link.coupang.com/a/ewuJvO5Wwu
11,몽벨,마이티 돔 2,백패킹텐트,2,1,990000,https://www.coupang.com/np/search?q=%EB%AA%BD%EB%B2%A8+%EB%A7%88%EC%9D%B4%ED%8B%B0+%EB%8F%94+2,https://link.coupang.com/a/ewuLvF8meO
97,몽벨,문라이트 텐트 1 카모플라쥬,백패킹텐트,1,1,259350,https://www.coupang.com/np/search?q=%EB%AA%BD%EB%B2%A8+%EB%AC%B8%EB%9D%BC%EC%9D%B4%ED%8A%B8+%ED%85%90%ED%8A%B8+1+%EC%B9%B4%EB%AA%A8%ED%94%8C%EB%9D%BC%EC%A5%AC,https://link.coupang.com/a/ewuMHzQQxM
227,몽벨,문라이트 텐트 2,백패킹텐트,1,2,439000,https://www.coupang.com/np/search?q=%EB%AA%BD%EB%B2%A8+%EB%AC%B8%EB%9D%BC%EC%9D%B4%ED%8A%B8+%ED%85%90%ED%8A%B8+2,https://link.coupang.com/a/ewuQdzar12
121,몽벨,스텔라릿지 텐트 1,백패킹텐트,1,1,459000,https://www.coupang.com/np/search?q=%EB%AA%BD%EB%B2%A8+%EC%8A%A4%ED%85%94%EB%9D%BC%EB%A6%BF%EC%A7%80+%ED%85%90%ED%8A%B8+1,https://link.coupang.com/a/ewuSG5S1Tw
32,몽벨,스텔라릿지 텐트 2,백패킹텐트,2,2,440160,https://www.coupang.com/np/search?q=%EB%AA%BD%EB%B2%A8+%EC%8A%A4%ED%85%94%EB%9D%BC%EB%A6%BF%EC%A7%80+%ED%85%90%ED%8A%B8+2,https://link.coupang.com/a/ewuUmUw3qu
